Age,Temp,CO2,CH4,GAST_2.5,GAST,GAST_97.5,Eccentricity,Obliquity,Precession
-585,"-5,7612","217,71","474,74","-3,95","-1,41","0,98","0,04613396147","23,46259252","108,5810908"
-584,"-6,7524","213,23","478,21","-3,4","-1,38",1,"0,04585140385","23,55479604","125,0488533"
-583,"-6,3116","206,87","481,67","-3,84","-1,2","0,8","0,04550210097","23,64409673","141,5929619"
-582,"-4,4734","215,4","487,83","-3,63","-1,26",1,"0,04520759566","23,72865456","158,0528576"
-581,"-3,0579","226,95","485,81","-3,54","-1,13","1,24","0,04477917313","23,80695777","174,453357"
-580,"-1,3279","243,83","519,01","-3,35","-0,73","1,86","0,04439732449","23,87739592","190,785609"
-579,"-1,0901","252,55","613,72","-3,11","-0,58",2,"0,04403679181","23,93835137","207,1327331"
-578,"-1,7951","250,24","599,78","-3,65","-0,8","1,47","0,04351319303","23,98843891","223,3826065"
-577,"-1,8333","251,3","596,95","-3,31","-0,81","1,65","0,04311694871","24,02658208","239,6286577"
-576,"-1,6911","252,72","588,89","-3,25","-0,84","1,7","0,0426080255","24,05153318","255,769246"
-575,"-1,3404","250,74","600,52","-3,68","-0,99","1,44","0,04210116252","24,06273211","272,0049618"
-574,"-1,7228","251,82","612,78","-3,64","-1,19","1,5","0,04158433842","24,05963363","288,1088048"
-573,"-1,357","249,07","612,37","-4,14","-1,45","1,31","0,04100309684","24,04181937","304,1993749"
-572,"-1,542","248,13","604,01","-4,99","-1,96","0,58","0,0404624865","24,00934435","320,3833461"
-571,"-1,4896","249,82","595,3","-5,06","-2,38","-0,19","0,03984983689","23,96245585","336,4493374"
-570,"-1,5088","251,63",587,"-5,61","-2,98","-0,14","0,03919540034","23,90145038","352,5772027"
-569,"-1,6285","251,12","589,59","-6,11","-3,36","-0,57","0,03864812109","23,82715216","8,698429478"
-568,"-1,4561","252,91","614,93","-6,15","-3,38","-0,69","0,03792852655","23,74067766","24,86824666"
